source_id,target_id,edge_type,duration,source_name,target_name
101,103,route,90,Van Cortlandt Park - 242 St,238 St
101,103,route,150,Van Cortlandt Park - 242 St,238 St
101,103,route,210,Van Cortlandt Park - 242 St,238 St
103,101,route,90,238 St,Van Cortlandt Park - 242 St
103,104,route,90,238 St,231 St
104,103,route,90,231 St,238 St
104,103,route,120,231 St,238 St
104,103,route,150,231 St,238 St
104,103,route,180,231 St,238 St
104,103,route,210,231 St,238 St
104,103,route,240,231 St,238 St
104,103,route,270,231 St,238 St
104,103,route,300,231 St,238 St
104,103,route,330,231 St,238 St
104,103,route,360,231 St,238 St
104,103,route,390,231 St,238 St
104,103,route,450,231 St,238 St
104,106,route,90,231 St,Marble Hill - 225 St
106,104,route,90,Marble Hill - 225 St,231 St
106,107,route,90,Marble Hill - 225 St,215 St
107,106,route,90,215 St,Marble Hill - 225 St
107,106,route,120,215 St,Marble Hill - 225 St
107,108,route,60,215 St,207 St
108,107,route,60,207 St,215 St
108,107,route,90,207 St,215 St
108,109,route,90,207 St,Dyckman St
108,109,route,150,207 St,Dyckman St
109,108,route,90,Dyckman St,207 St
109,110,route,90,Dyckman St,191 St
110,109,route,60,191 St,Dyckman St
110,109,route,90,191 St,Dyckman St
110,109,route,120,191 St,Dyckman St
110,109,route,180,191 St,Dyckman St
110,109,route,240,191 St,Dyckman St
110,111,route,90,191 St,181 St
111,110,route,90,181 St,191 St
111,112,route,120,181 St,168 St - Washington Hts
111,112,route,180,181 St,168 St - Washington Hts
112,111,route,120,168 St - Washington Hts,181 St
112,113,route,90,168 St - Washington Hts,157 St
112,113,route,120,168 St - Washington Hts,157 St
112,A09,transfer,180,168 St - Washington Hts,168 St
113,112,route,90,157 St,168 St - Washington Hts
113,112,route,120,157 St,168 St - Washington Hts
113,114,route,120,157 St,145 St
114,113,route,120,145 St,157 St
114,115,route,90,145 St,137 St - City College
114,115,route,150,145 St,137 St - City College
114,115,route,180,145 St,137 St - City College
114,115,route,210,145 St,137 St - City College
115,114,route,90,137 St - City College,145 St
115,116,route,90,137 St - City College,125 St
115,116,route,120,137 St - City College,125 St
116,115,route,120,125 St,137 St - City College
116,117,route,120,125 St,116 St - Columbia University
116,117,route,150,125 St,116 St - Columbia University
117,116,route,120,116 St - Columbia University,125 St
117,116,route,150,116 St - Columbia University,125 St
117,118,route,60,116 St - Columbia University,Cathedral Pkwy
118,117,route,60,Cathedral Pkwy,116 St - Columbia University
118,119,route,60,Cathedral Pkwy,103 St
118,119,route,90,Cathedral Pkwy,103 St
119,118,route,90,103 St,Cathedral Pkwy
119,120,route,120,103 St,96 St
119,120,route,150,103 St,96 St
119,120,route,180,103 St,96 St
120,119,route,90,96 St,103 St
120,121,route,120,96 St,86 St
120,123,route,150,96 St,72 St
120,123,route,180,96 St,72 St
120,123,route,210,96 St,72 St
120,123,route,270,96 St,72 St
120,123,route,330,96 St,72 St
120,123,route,390,96 St,72 St
120,123,route,450,96 St,72 St
120,227,route,240,96 St,Central Park North (110 St)
120,227,route,270,96 St,Central Park North (110 St)
121,120,route,90,86 St,96 St
121,120,route,120,86 St,96 St
121,122,route,60,86 St,79 St
121,122,route,90,86 St,79 St
122,121,route,60,79 St,86 St
122,121,route,90,79 St,86 St
122,123,route,90,79 St,72 St
123,120,route,150,72 St,96 St
123,120,route,180,72 St,96 St
123,120,route,210,72 St,96 St
123,120,route,270,72 St,96 St
123,120,route,300,72 St,96 St
123,122,route,90,72 St,79 St
123,122,route,120,72 St,79 St
123,124,route,90,72 St,66 St - Lincoln Center
123,127,route,240,72 St,Times Sq - 42 St
123,127,route,270,72 St,Times Sq - 42 St
123,127,route,300,72 St,Times Sq - 42 St
123,127,route,330,72 St,Times Sq - 42 St
124,123,route,60,66 St - Lincoln Center,72 St
124,123,route,90,66 St - Lincoln Center,72 St
124,125,route,90,66 St - Lincoln Center,59 St - Columbus Circle
125,124,route,90,59 St - Columbus Circle,66 St - Lincoln Center
125,126,route,120,59 St - Columbus Circle,50 St
125,A24,transfer,180,59 St - Columbus Circle,59 St - Columbus Circle
126,125,route,120,50 St,59 St - Columbus Circle
126,125,route,150,50 St,59 St - Columbus Circle
126,127,route,90,50 St,Times Sq - 42 St
126,127,route,120,50 St,Times Sq - 42 St
127,123,route,210,Times Sq - 42 St,72 St
127,123,route,240,Times Sq - 42 St,72 St
127,123,route,270,Times Sq - 42 St,72 St
127,126,route,120,Times Sq - 42 St,50 St
127,128,route,60,Times Sq - 42 St,34 St - Penn Station
127,128,route,90,Times Sq - 42 St,34 St - Penn Station
127,725,transfer,180,Times Sq - 42 St,Times Sq - 42 St
127,902,transfer,180,Times Sq - 42 St,Times Sq - 42 St
127,A27,transfer,300,Times Sq - 42 St,42 St - Port Authority Bus Terminal
127,R16,transfer,180,Times Sq - 42 St,Times Sq - 42 St
128,127,route,60,34 St - Penn Station,Times Sq - 42 St
128,127,route,90,34 St - Penn Station,Times Sq - 42 St
128,127,route,120,34 St - Penn Station,Times Sq - 42 St
128,129,route,60,34 St - Penn Station,28 St
128,129,route,90,34 St - Penn Station,28 St
128,132,route,150,34 St - Penn Station,14 St
128,132,route,180,34 St - Penn Station,14 St
128,132,route,210,34 St - Penn Station,14 St
129,128,route,60,28 St,34 St - Penn Station
129,128,route,90,28 St,34 St - Penn Station
129,130,route,60,28 St,23 St
130,129,route,60,23 St,28 St
130,129,route,90,23 St,28 St
130,131,route,60,23 St,18 St
131,130,route,60,18 St,23 St
131,132,route,60,18 St,14 St
132,128,route,150,14 St,34 St - Penn Station
132,128,route,180,14 St,34 St - Penn Station
132,131,route,60,14 St,18 St
132,133,route,90,14 St,Christopher St - Sheridan Sq
132,137,route,270,14 St,Chambers St
132,137,route,300,14 St,Chambers St
132,137,route,330,14 St,Chambers St
132,137,route,360,14 St,Chambers St
132,D19,transfer,300,14 St,14 St
132,L02,transfer,180,14 St,6 Av
133,132,route,90,Christopher St - Sheridan Sq,14 St
133,132,route,120,Christopher St - Sheridan Sq,14 St
133,134,route,90,Christopher St - Sheridan Sq,Houston St
133,134,route,120,Christopher St - Sheridan Sq,Houston St
134,133,route,90,Houston St,Christopher St - Sheridan Sq
134,133,route,120,Houston St,Christopher St - Sheridan Sq
134,135,route,90,Houston St,Canal St
134,135,route,120,Houston St,Canal St
135,134,route,90,Canal St,Houston St
135,134,route,120,Canal St,Houston St
135,136,route,60,Canal St,Franklin St
136,135,route,60,Franklin St,Canal St
136,137,route,60,Franklin St,Chambers St
136,137,route,120,Franklin St,Chambers St
136,137,route,180,Franklin St,Chambers St
136,137,route,210,Franklin St,Chambers St
136,137,route,270,Franklin St,Chambers St
137,132,route,240,Chambers St,14 St
137,132,route,270,Chambers St,14 St
137,132,route,300,Chambers St,14 St
137,136,route,60,Chambers St,Franklin St
137,136,route,90,Chambers St,Franklin St
137,138,route,90,Chambers St,Cortlandt St
137,228,route,60,Chambers St,Park Pl
137,228,route,90,Chambers St,Park Pl
138,137,route,60,Cortlandt St,Chambers St
138,137,route,90,Cortlandt St,Chambers St
138,137,route,120,Cortlandt St,Chambers St
138,137,route,150,Cortlandt St,Chambers St
138,137,route,180,Cortlandt St,Chambers St
138,139,route,150,Cortlandt St,Rector St
138,139,route,210,Cortlandt St,Rector St
139,138,route,60,Rector St,Cortlandt St
139,140,route,150,Rector St,South Ferry Loop
140,139,route,150,South Ferry Loop,Rector St
140,R27,transfer,120,South Ferry Loop,Whitehall St
201,204,route,90,Wakefield - 241 St,Nereid Av
201,204,route,120,Wakefield - 241 St,Nereid Av
201,204,route,150,Wakefield - 241 St,Nereid Av
201,204,route,210,Wakefield - 241 St,Nereid Av
201,204,route,240,Wakefield - 241 St,Nereid Av
201,204,route,270,Wakefield - 241 St,Nereid Av
201,204,route,330,Wakefield - 241 St,Nereid Av
201,204,route,360,Wakefield - 241 St,Nereid Av
201,204,route,390,Wakefield - 241 St,Nereid Av
201,204,route,420,Wakefield - 241 St,Nereid Av
204,201,route,120,Nereid Av,Wakefield - 241 St
204,205,route,90,Nereid Av,233 St
205,204,route,90,233 St,Nereid Av
205,204,route,120,233 St,Nereid Av
205,204,route,150,233 St,Nereid Av
205,204,route,180,233 St,Nereid Av
205,204,route,210,233 St,Nereid Av
205,204,route,270,233 St,Nereid Av
205,204,route,300,233 St,Nereid Av
205,204,route,330,233 St,Nereid Av
205,204,route,360,233 St,Nereid Av
205,204,route,390,233 St,Nereid Av
205,204,route,450,233 St,Nereid Av
205,204,route,480,233 St,Nereid Av
205,204,route,510,233 St,Nereid Av
205,204,route,570,233 St,Nereid Av
205,204,route,690,233 St,Nereid Av
205,206,route,60,233 St,225 St
205,206,route,90,233 St,225 St
206,205,route,60,225 St,233 St
206,205,route,90,225 St,233 St
206,207,route,60,225 St,219 St
206,207,route,90,225 St,219 St
207,206,route,60,219 St,225 St
207,206,route,90,219 St,225 St
207,208,route,90,219 St,Gun Hill Rd
207,208,route,120,219 St,Gun Hill Rd
